anio,ciiuc,cod_ciudad,caja,inversiones,activo_corriente,activo_no_corriente,activo,obl_finan,proveedores,obl_laborales,pasivo_corriente,pasivo_no_corriente,pasivo,patrimonio,ing_operacionales,utilidad,sectorppal2,ing2,ing2_def,id
2009,5219,11001,780,0,666100,0,666100,0,0,1362,449637,0,449637,216463,1155316,-378495,5219,1175986,10266,194
2009,5219,11001,2116,0,536726,146300,683026,10138,95193,0,170805,0,170805,512221,1156181,67103,2424,1156181,10337,433
2009,5222,25769,2197,0,953145,176403,1129548,56646,81593,1680,278453,0,278453,851095,4109009,197303,1530,4118004,33059,461
2009,2529,5360,1758,0,450839,64074,514913,102639,53096,8121,199094,0,199094,315819,804150,28319,5229,812722,7095,595
2009,5229,11001,102657,207039,1595441,936880,2532321,620205,159621,12400,1606896,0,1606896,925425,9407056,235914,5229,9407056,81514,876
2009,5211,54001,12449,992887,1998830,341908,2340738,0,78429,35397,349540,861874,1211414,1129324,5067786,76063,5190,5067786,43623,974
2009,5219,76001,13447,2960,7055741,4126166,11181907,930893,1465324,103656,3060192,2621863,5682055,5499852,17426907,-654707,5229,17924441,156367,1111
2009,125,70001,13,953,132514,354083,486597,52206,9828,6461,94569,50000,144569,342028,629057,-31647,5225,644494,5626,1241
2009,1541,85001,277926,0,13542993,1140789,14683782,6415089,4035000,118717,11661387,0,11661387,3022395,49106931,372279,5222,49491920,432067,1425
2009,5211,76520,4842,3813,344053,313883,657936,112600,94208,14196,246240,0,246240,411696,987660,8646,5211,992938,8636,1465
2009,5211,76001,155147,1580779,5712733,1716970,7429703,0,2118505,146835,3222118,0,3222118,4207585,57392306,408891,5211,57392373,501032,1891
2009,5211,76001,495377,0,5309595,3082841,8392436,1750925,3143138,181625,5380137,1371748,6751885,1640551,46938214,149709,5211,47072147,410942,1964
2009,5219,73001,35422,0,4403271,592411,4995682,772265,2033726,31338,3867301,0,3867301,1128381,12898193,67173,5219,13802851,119841,2051
2009,5219,11001,500,0,386681,382804,769485,18514,222662,13097,328354,0,328354,441131,1398433,1954,5219,1469972,12832,2907
2009,5222,11001,14499,0,1300040,119380,1419420,107778,664139,18050,906322,372556,1278878,140542,5071884,20510,1530,5183338,41683,3138
2009,5229,11001,69883,12114,479722,80113,559835,66309,167496,39185,397628,0,397628,162207,2198164,14188,1551,2235746,18384,3213
2009,122,11001,248557,15000,2424073,1956727,4380800,1948358,1051297,16738,3374218,0,3374218,1006582,15421032,245734,5223,15468219,135038,3492
2009,5229,11001,1000,12277,2852803,1600708,4453511,1260441,976118,58349,2695024,60579,2755603,1697908,6637677,278816,5229,6658942,59904,3564
2009,5229,11001,10116,0,223765,215473,439238,16,133207,0,208908,0,208908,230330,2645717,-138385,5529,2645717,23097,3906
2009,5223,11001,15686,0,2503744,539129,3042873,554628,772565,0,1524445,230111,1754556,1288317,13595724,225963,1511,13915497,111712,3954
2009,5229,11001,769,0,364407,325454,689861,0,84583,0,97494,269773,367267,322594,1049318,31763,5229,1051880,9182,4111
2009,5222,25899,55792,198548,9639544,5227924,14867468,941181,3203166,64939,6454614,699381,7153995,7713473,45287977,326394,1530,46257545,371353,5019
2009,5231,11001,3507,3258,263566,341554,605120,128889,20500,14370,193062,22284,215346,389774,246240,14897,5229,249758,2180,5109
2009,5222,76001,80932,46886,17060010,22102136,39162146,4298398,4828185,920343,13048372,6314967,19363339,19798807,124438523,-1705595,5222,126255014,1078237,5532
2009,5221,5266,40001,15000,666587,1113989,1780576,0,165735,133116,547581,84089,631670,1148906,5155285,30906,1589,5287244,42445,6493
2009,2929,76520,400,0,94818712,50567,94869279,0,0,0,31404,92755322,92786726,2082553,1417152,32124,5229,1955847,17074,6712
2009,5223,5001,20797,0,3478162,5258000,8736162,127434,1682912,191685,2606568,1879725,4486293,4249869,35959698,525493,5223,36662085,317516,6947
2010,5219,68001,40851,3597,2661120,1373199,4034319,73669,1798047,68697,2231349,561287,2792636,1241683,11056198,188909,5219,11518536,98894,97
2010,5229,5360,105,0,538200,198341,736541,110054,181808,5002,365862,0,365862,370679,880109,67391,5229,880109,7556,595
2010,5229,11001,80525,162108,1591986,1175190,2767176,203959,346639,16819,1587762,0,1587762,1179414,11286747,253987,5229,11286747,96228,876
2010,5219,76001,11643,2483,7160007,3796152,10956159,1509691,899327,101471,2959571,1818131,4777702,6178457,13471212,75463,5219,13967113,119789,1111
2010,5225,70001,21,953,404364,384274,788638,44379,36398,1562,127267,350000,477267,311371,589237,-30657,5225,592156,5084,1241
2010,5229,76001,572,0,950711,1811903,2762614,1758,43450,27298,230454,0,230454,2532160,1164089,-100227,5229,1237797,10928,1405
2010,5211,76520,4024,1829,187106,571419,758525,0,164542,11967,219687,116785,336472,422053,1008023,20357,5211,1012162,8690,1465
2010,5211,76001,88974,797481,7402846,1791852,9194698,1964044,1729225,145950,5423440,0,5423440,3771258,56960669,463582,5211,56960679,488901,1891
2010,5211,76001,863302,1034,6204217,4549362,10753579,2005533,4231764,197659,7221743,1569237,8790980,1962599,52308853,422109,5211,52440373,450236,1964
2010,5219,73001,63834,0,4326078,520688,4846766,502755,2068637,40905,3797270,0,3797270,1049496,12981888,171852,5219,13887598,118574,2051
2010,5211,5001,154851,0,1884675,4807073,6691748,0,607750,118332,989485,4203997,5193482,1498266,13114674,32041,5211,13228276,113573,2138
